ano,cod_uf,uf,quant_populacao_total,quant_populacao_dep_privada
2020,12,AC,906876,41438
2021,12,AC,906876,41139
2022,12,AC,906876,40964
2020,27,AL,3365351,357299
2021,27,AL,3365351,365973
2022,27,AL,3365351,369211
2020,13,AM,4269995,460246
2021,13,AM,4269995,490043
2022,13,AM,4269995,491228
2020,16,AP,877613,59496
2021,16,AP,877613,59431
2022,16,AP,877613,59053
2020,29,BA,14985284,1424741
2021,29,BA,14985284,1494981
2022,29,BA,14985284,1503396
2020,23,CE,9240580,1208435
2021,23,CE,9240580,1239712
2022,23,CE,9240580,1249924
2020,53,DF,3094325,824712
2021,53,DF,3094325,819186
2022,53,DF,3094325,813684
2020,32,ES,4108508,895850
2021,32,ES,4108508,935659
2022,32,ES,4108508,939722
2020,52,GO,7206589,1189402
2021,52,GO,7206589,1196883
2022,52,GO,7206589,1211987
2020,21,MA,7153262,422133
2021,21,MA,7153262,450676
2022,21,MA,7153262,456786
2020,31,MG,21411923,4550394
2021,31,MG,21411923,4768354
2022,31,MG,21411923,4808745
2020,50,MS,2839188,444399
2021,50,MS,2839188,463204
2022,50,MS,2839188,466628
2020,51,MT,3567234,571313
2021,51,MT,3567234,609544
2022,51,MT,3567234,614318
2020,25,PB,4059905,393310
2021,25,PB,4059905,412705
2022,25,PB,4059905,415944
2020,26,PE,9674793,1300937
2021,26,PE,9674793,1324857
2022,26,PE,9674793,1327100
2020,22,PI,3289290,305696
2021,22,PI,3289290,328222
2022,22,PI,3289290,333485
2020,41,PR,11597484,792487
2021,41,PR,11597484,818206
2022,41,PR,11597484,806842
2020,33,RJ,17463349,4648239
2021,33,RJ,17463349,4704142
2022,33,RJ,17463349,4707145
2020,24,RN,3560903,504033
2021,24,RN,3560903,550714
2022,24,RN,3560903,552855
2020,11,RO,1815278,150952
2021,11,RO,1815278,150754
2022,11,RO,1815278,152504
2020,14,RR,652713,29239
2021,14,RR,652713,29736
2022,14,RR,652713,30539
2020,43,RS,11466630,2002925
2021,43,RS,11466630,2063521
2022,43,RS,11466630,2076363
2020,42,SC,7338473,976424
2021,42,SC,7338473,1059921
2022,42,SC,7338473,1070311
2020,28,SE,2338474,276203
2021,28,SE,2338474,285784
2022,28,SE,2338474,288597
2020,35,SP,46649132,15670858
2021,35,SP,46649132,16355551
2022,35,SP,46649132,16321990
2020,17,TO,1607363,108361
2021,17,TO,1607363,110667
2022,17,TO,1607363,112048
